date,open,high,low,close,volume,open_interest
2018-11-20,49850.0,50030.0,49540.0,49580.0,200582,185346
2018-11-21,49750.0,50000.0,48740.0,49410.0,346060,186594
2018-11-22,49600.0,49710.0,49260.0,49570.0,180800,181814
2018-11-23,49550.0,49830.0,49330.0,49400.0,174734,180168
2018-11-26,49300.0,49450.0,49050.0,49300.0,247316,177950
2018-11-27,49420.0,49440.0,48650.0,48880.0,318768,169944
2018-11-28,48900.0,49300.0,48620.0,49280.0,241950,159892
2018-11-29,49250.0,49820.0,49110.0,49560.0,202904,151244
2018-11-30,49530.0,49680.0,49430.0,49650.0,107922,171166
2018-12-03,49560.0,50740.0,49310.0,50280.0,191286,177170
2018-12-04,50180.0,50370.0,49600.0,49660.0,157134,175974
2018-12-05,49640.0,49730.0,49100.0,49350.0,197696,172174
2018-12-06,49260.0,49370.0,48960.0,48980.0,167154,177826
2018-12-07,48760.0,49300.0,48720.0,49180.0,195508,173268
2018-12-10,49230.0,49260.0,48870.0,48930.0,149254,180656
2018-12-11,48930.0,49180.0,48800.0,49090.0,172762,180618
2018-12-12,49150.0,49450.0,49050.0,49080.0,168062,178712
2018-12-13,49040.0,49400.0,49010.0,49340.0,156686,179344
2018-12-14,49310.0,49440.0,48870.0,48890.0,186434,185996
2018-12-17,48800.0,49300.0,48740.0,49230.0,155804,174684
2018-12-18,49040.0,49180.0,48860.0,48930.0,176828,179086
2018-12-19,48730.0,48800.0,48010.0,48090.0,311126,206050
2018-12-20,48130.0,48470.0,47760.0,48220.0,267864,199886
2018-12-21,48360.0,48600.0,48200.0,48410.0,170110,190934
2018-12-24,48300.0,48510.0,48030.0,48100.0,188998,192340
2018-12-25,48010.0,48190.0,47470.0,48010.0,248624,183828
2018-12-26,48000.0,48090.0,47820.0,48040.0,119494,174102
2018-12-27,48400.0,48640.0,48160.0,48280.0,189466,160842
2018-12-28,48200.0,48390.0,47970.0,48340.0,191960,150454
2019-01-02,47980.0,48170.0,47670.0,47680.0,112020,142204
2019-01-03,47180.0,47460.0,46960.0,47310.0,225040,183262
2019-01-04,47200.0,47370.0,46210.0,47140.0,348086,201274
2019-01-07,47140.0,47680.0,46810.0,47430.0,301244,195338
2019-01-08,47380.0,47510.0,47230.0,47340.0,167112,190932
2019-01-09,47420.0,47820.0,47260.0,47680.0,233952,182080
2019-01-10,47730.0,47740.0,47380.0,47510.0,185460,182636
2019-01-11,47340.0,47350.0,46970.0,47320.0,224400,193152
2019-01-14,47150.0,47270.0,46730.0,46890.0,233818,211898
2019-01-15,46830.0,47080.0,46690.0,47000.0,172170,207730
2019-01-16,46920.0,47430.0,46890.0,47380.0,225524,208056
2019-01-17,47340.0,47490.0,47220.0,47380.0,158182,204508
2019-01-18,47350.0,47930.0,47230.0,47860.0,213558,198828
2019-01-21,47930.0,48300.0,47690.0,47800.0,223964,194574
2019-01-22,47660.0,47850.0,47500.0,47530.0,129522,191478
2019-01-23,47610.0,47690.0,47320.0,47540.0,118250,192730
2019-01-24,47430.0,47610.0,47260.0,47320.0,133490,191876
2019-01-25,47260.0,47490.0,47090.0,47380.0,146234,190720
2019-01-28,47210.0,47950.0,47140.0,47540.0,215208,180062
2019-01-29,47620.0,47670.0,47350.0,47580.0,121536,177368
2019-01-30,47610.0,47920.0,47600.0,47700.0,135976,178878
2019-01-31,47830.0,48220.0,47770.0,48090.0,164962,172048
2019-02-01,48210.0,48360.0,47970.0,48270.0,113982,166284
2019-02-11,48600.0,48600.0,48170.0,48190.0,91592,167466
2019-02-12,48310.0,48450.0,48060.0,48110.0,106656,166960
2019-02-13,48000.0,48150.0,47830.0,48120.0,96160,166814
2019-02-14,48010.0,48390.0,48000.0,48340.0,77688,165328
2019-02-15,48640.0,48650.0,48150.0,48200.0,130306,184008
2019-02-18,48500.0,49260.0,48440.0,49230.0,221478,222040
2019-02-19,49290.0,49480.0,49160.0,49360.0,170316,232708
2019-02-20,49280.0,49790.0,49230.0,49710.0,196492,240388
2019-02-21,49690.0,50040.0,49530.0,49670.0,220484,248714
2019-02-22,49750.0,49920.0,49550.0,49920.0,169764,250936
2019-02-25,50310.0,50620.0,50100.0,50520.0,275480,257880
2019-02-26,50370.0,50410.0,49970.0,50190.0,229798,251196
2019-02-27,50160.0,50280.0,49970.0,50080.0,182712,241558
2019-02-28,50220.0,50440.0,50110.0,50160.0,172546,232392
2019-03-01,50260.0,50560.0,50100.0,50500.0,163088,224932
2019-03-04,50530.0,50810.0,49980.0,50010.0,196842,217350
2019-03-05,49680.0,50230.0,49610.0,49880.0,260694,194702
2019-03-06,49620.0,49670.0,49340.0,49400.0,132836,235600
2019-03-07,49450.0,49650.0,49110.0,49210.0,174430,228928
2019-03-08,49220.0,49300.0,48990.0,49040.0,152736,231054
2019-03-11,48820.0,49220.0,48810.0,49190.0,140418,234632
2019-03-12,49170.0,49490.0,49010.0,49450.0,155542,242998
2019-03-13,49630.0,49720.0,49220.0,49340.0,165036,234442
2019-03-14,49440.0,49440.0,49060.0,49110.0,149960,238354
2019-03-15,48870.0,49410.0,48670.0,49320.0,326806,235392
2019-03-18,49120.0,49460.0,48950.0,49350.0,190904,227840
2019-03-19,49390.0,49430.0,49130.0,49330.0,132344,229810
2019-03-20,49390.0,49500.0,49160.0,49190.0,111362,229844
2019-03-21,49190.0,49480.0,49120.0,49420.0,141296,237030
2019-03-22,49270.0,49310.0,48920.0,48940.0,163772,231162
2019-03-25,48580.0,48740.0,48100.0,48120.0,229440,230270
2019-03-26,48210.0,48380.0,48140.0,48230.0,133948,220808
2019-03-27,48270.0,48520.0,48230.0,48390.0,135012,211444
2019-03-28,48430.0,48480.0,48140.0,48360.0,127904,210982
2019-03-29,48540.0,48910.0,48420.0,48800.0,154770,206552
2019-04-01,49200.0,49480.0,49100.0,49460.0,166218,188712
2019-04-02,49420.0,49460.0,49040.0,49270.0,119910,178728
2019-04-03,49150.0,49540.0,49000.0,49510.0,124934,180792
2019-04-04,49360.0,49660.0,49250.0,49520.0,125892,182670
2019-04-08,49120.0,49380.0,49100.0,49260.0,75880,174232
2019-04-09,49390.0,49850.0,49320.0,49790.0,117250,182140
2019-04-10,49790.0,49870.0,49400.0,49490.0,97432,183824
2019-04-11,49320.0,49430.0,49130.0,49170.0,85710,189792
2019-04-12,49150.0,49290.0,48910.0,49200.0,77962,191690
2019-04-15,49610.0,49670.0,49320.0,49320.0,79396,190702
2019-04-16,49310.0,49580.0,49140.0,49450.0,82532,185614
2019-04-17,49450.0,49630.0,49320.0,49470.0,85456,180086
2019-04-18,49840.0,50080.0,49470.0,49500.0,256234,190496
2019-04-19,49290.0,49550.0,49230.0,49530.0,100934,188138
2019-04-23,49070.0,49280.0,49050.0,49160.0,119046,187480
2019-04-24,49050.0,49130.0,48830.0,48960.0,149314,190466
2019-04-25,49100.0,49360.0,49080.0,49180.0,145222,188890
2019-04-26,48960.0,48980.0,48720.0,48970.0,146458,183910
2019-04-29,48950.0,49020.0,48790.0,48850.0,100624,187340
2019-04-30,48810.0,49070.0,48770.0,48940.0,115630,178342
2019-05-06,47500.0,48120.0,47420.0,48010.0,120546,178982
2019-05-07,48070.0,48430.0,47960.0,48280.0,112210,156400
2019-05-08,47890.0,48050.0,47770.0,47840.0,128518,166930
2019-05-09,47620.0,47790.0,47540.0,47560.0,154188,182688
2019-05-10,47540.0,48060.0,47370.0,47760.0,194156,191556
2019-05-13,47760.0,47950.0,47600.0,47660.0,24822,191766
2019-05-14,47550.0,47640.0,47350.0,47490.0,31260,198132
2019-05-15,47490.0,47820.0,47390.0,47730.0,31845,215614
2019-05-16,47550.0,47920.0,47550.0,47790.0,126132,214246
2019-05-17,48100.0,48150.0,47500.0,47630.0,157594,210038
2019-05-20,47710.0,47880.0,47600.0,47620.0,117452,208752
2019-05-21,47580.0,47820.0,47550.0,47700.0,122918,213022
2019-05-22,47590.0,47670.0,47100.0,47160.0,224660,224124
2019-05-23,47000.0,47090.0,46550.0,46680.0,173938,236656
2019-05-24,46620.0,47210.0,46530.0,47170.0,164438,234148
2019-05-27,47080.0,47330.0,47030.0,47280.0,133378,232158
2019-05-28,47210.0,47340.0,47100.0,47130.0,83480,228318
2019-05-29,47160.0,47230.0,46780.0,46810.0,112976,226488
2019-05-30,46670.0,46800.0,46440.0,46550.0,159450,239870
2019-05-31,46370.0,46520.0,46120.0,46180.0,183872,236888
2019-06-03,46150.0,46390.0,46060.0,46130.0,117262,224764
2019-06-04,46300.0,46420.0,46190.0,46270.0,83460,218826
2019-06-05,46230.0,46630.0,46190.0,46490.0,92440,210750
2019-06-06,46380.0,46390.0,45860.0,46020.0,147732,200218
